PGD ID	PGD Type	Meteorite	Technique	12C/13C	14N/15N	d(29Si/28Si)	d(30Si/28Si)
SiC-1993-ALE-000190	M	Inman	WU 3f	55.2		27.2	12.3
SiC-1993-ALE-000191	M	Inman	WU 3f	69.3		33.0	41.7
SiC-1993-ALE-000192	M	Inman	WU 3f	56.7		30.0	46.5
SiC-1993-ALE-000193	M	Inman	WU 3f	41.1		50.6	47.8
SiC-1993-ALE-000194	M	Inman	WU 3f	43.8		32.5	33.8
SiC-1993-ALE-000195	M	Inman	WU 3f	43.9		27.0	37.5
SiC-1993-ALE-000196	M	Inman	WU 3f	35.2		21.0	7.1
SiC-1993-ALE-000197	M	Inman	WU 3f	59.4		56.5	55.6
SiC-1993-ALE-000198	M	Inman	WU 3f	50.1		-9.2	-9.1
SiC-1993-ALE-000199	M	Inman	WU 3f	61.9		21.9	30.2
SiC-1993-ALE-000200	M	Inman	WU 3f	39.8		62.5	60.8
SiC-1993-ALE-000201	M	Inman	WU 3f	58.0		32.3	28.9
SiC-1993-ALE-000202	M	Inman	WU 3f	47.3		2.0	36.6
SiC-1993-ALE-000203	M	Inman	WU 3f	37.4		67.1	31.6
SiC-1993-ALE-000204	X	Inman	WU 3f	214.8		-265.9	-456.0
SiC-1993-ALE-000205	M	Inman	WU 3f	76.0		20.0	47.1
SiC-1993-ALE-000206	M	Inman	WU 3f	50.6		6.2	14.7
SiC-1993-ALE-000207	M	Inman	WU 3f	46.2		47.7	48.3
SiC-1993-ALE-000208	M	Inman	WU 3f	56.6		57.9	53.4
SiC-1993-ALE-000209	M	Inman	WU 3f	53.5		20.1	24.5
SiC-1993-ALE-000210	M	Inman	WU 3f	91.7		0.2	38.1
SiC-1993-ALE-000211	M	Inman	WU 3f	18.0		-4.7	7.3
SiC-1993-ALE-000212	M	Inman	WU 3f	65.0		22.2	27.6
SiC-1993-ALE-000213	M	Inman	WU 3f	46.8		55.9	38.5
SiC-1993-ALE-000214	M	Inman	WU 3f	81.4		22.7	22.2
SiC-1993-ALE-000215	M	Inman	WU 3f	53.3		10.5	22.9
SiC-1993-ALE-000216	M	Inman	WU 3f	60.5		25.4	45.4
SiC-1993-ALE-000217	M	Inman	WU 3f	61.1		14.1	36.1
SiC-1993-ALE-000218	M	Inman	WU 3f	58.2		71.3	14.1
SiC-1993-ALE-000219	M	Inman	WU 3f	36.8		33.7	49.1
SiC-1993-ALE-000220	M	Inman	WU 3f	53.3		22.5	16.4
SiC-1993-ALE-000221	M	Inman	WU 3f	62.0		24.1	29.5
SiC-1993-ALE-000222	M	Inman	WU 3f	52.5		29.8	43.0
